Number	Morph	Frequency
195	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Verb+Caus+Pos+Adj+PresPart	129
196	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Adj+AsIf	129
197	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P2pl+Acc	128
198	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P2sg+Dat	128
199	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Apos+Dat	123
200	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Narr+A2sg	123
201	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Pos+Noun+Inf2+A3pl+Pnon+Nom	122
202	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P1sg+Acc	121
203	Noun+NoHats+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Nom	121
204	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Cond+A1sg	120
205	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Verb+Pres+A2sg	120
206	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P3sg+Acc	119
207	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3pl+P1pl+Acc	119
208	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P3sg+Acc	118
209	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Verb+Past+A3sg	116
210	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Nom+Verb+Pres+Cop+A3sg	115
211	Verb+Pos+Noun+FutPart+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+P3sg+Gen	115
212	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Verb+Caus+Verb+Pass+Pos+Narr+A3sg	114
213	Noun+NoHats+A3sg+Pnon+Nom+Adj+With+Adj+AsIf	114
