Number	Morph	Frequency
122	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Pos+Fut+A3sg+Cop+A3sg	35
123	Adj+Noun+A3sg+Pnon+Nom+Adj+Without+Noun+A3sg+P3sg+Nom	34
124	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+A3sg+P3sg+Ins	34
125	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Verb+Caus+Pos+Noun+Inf2+A3sg+P3sg+Nom	34
126	Adj+Noun+A3sg+Pnon+Nom+Adj+Without+Noun+Ness+A3sg+P3sg+Nom	33
127	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Verb+Caus+Pos+Adj+FutPart+P3sg	33
128	Adj+Noun+A3sg+Pnon+Nom+Adj+Without+Noun+Ness+A3sg+Pnon+Dat	32
129	Noun+Prop+A3sg+Pnon+Nom+Adj+Without+Noun+A3sg+Pnon+Dat	32
130	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Pres+A2sg+Cop+A3sg	31
131	Noun+NoHats+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Pos+Past+A3sg	31
132	Noun+Prop+A3sg+Pnon+Nom+Adj+Without+Verb+Past+A3sg	31
133	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+A3sg+P3sg+Gen	30
134	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P3sg+Nom	30
135	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Verb+Caus+Verb+Pass+Pos+Adj+PastPart+P3sg	30
136	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Past+A2sg	30
137	Noun+NoHats+A3sg+Pnon+Nom+Adj+Without+Verb+Pres+A1sg	30
138	Noun+NoHats+A3sg+Pnon+Nom+Adj+Without+Verb+Pres+A2sg	30
139	Verb+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+Without+Noun+Ness+A3sg+Pnon+Nom	30
140	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Pos+Noun+Inf2+A3sg+P3sg+Acc	29
141	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Pos+Noun+Inf2+A3sg+P3sg+Abl	28
142	Noun+Prop+A3sg+Pnon+Nom+Adj+Without+Noun+A3sg+P3sg+Nom	28
143	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+A3pl+P3sg+Acc	27
144	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+A3sg+Pnon+Apos+Abl	27
145	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Acc	27
146	Noun+NoHats+A3sg+Pnon+Nom+Adj+Without+Noun+Ness+A3sg+Pnon+Nom	27
147	Noun+NoHats+A3sg+Pnon+Nom+Adj+Without+Verb+Cond+A3sg	27
148	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Verb+Caus+Verb+Pass+Pos+Fut+A3sg	26
149	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Verb+Caus+Verb+Pass+Pos+Prog1+A3sg	26
150	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Pres+A1sg+Cop+A3sg	26
151	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+A3sg+Pnon+Nom+Adj+With	25
152	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+Ness+A3pl+P3sg+Dat	25
153	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Pos+Adv+AfterDoingSo	25
154	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Pos+Aor+A3sg+Adv+While	25
155	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Verb+Caus+Pos+Noun+FutPart+A3sg+P3sg+Acc	25
156	Noun+NoHats+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Verb+Caus+Pos+Prog1+A3sg	25
157	Noun+NoHats+A3sg+Pnon+Nom+Adj+Without+Verb+Past+A1sg	25
158	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+A3pl+P1pl+Gen	24
159	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+A3pl+Pnon+Apos+Dat	24
160	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Gen	24
161	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+Ness+A3sg+P1pl+Acc	24
162	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Pos+Prog2+A3sg	24
163	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Pos+Noun+Inf2+A3sg+P3sg+Gen	23
164	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Verb+Caus+Pos+Adv+AfterDoingSo	23
165	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+A3pl+P1pl+Nom	22
166	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+A3sg+Pnon+Apos+Loc	22
167	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+Ness+A3pl+P3sg+Abl	22
168	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Pos+Adv+ByDoingSo	22
169	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Pos+Narr+Past+A3sg	22
170	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Pos+Noun+FutPart+A3sg+P3sg+Acc	22
171	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Verb+Caus+Verb+Pass+Pos+Noun+Inf1+A3sg+Pnon+Nom	22
172	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Cond+A1pl	22
173	Noun+NoHats+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Verb+Caus+Pos+Adj+PresPart	22
174	Noun+NoHats+A3sg+Pnon+Nom+Adj+Without+Verb+Narr+A3sg	22
175	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+A3pl+Pnon+Nom+Verb+Cond+A3sg	21
176	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+A3sg+P3sg+Loc	21
177	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Verb+Caus+Verb+Pass+Pos+Narr+A3sg+Cop+A3sg	21
178	Verb+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+Without+Verb+Past+A3sg	21
