Number	Morph	Frequency
123	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3pl+Pnon+Nom	404
124	Verb+Pos+Noun+Agt+A3sg+Pnon+Apos+Gen	394
125	Verb+Pos+Noun+Agt+A3sg+P3sg+Abl	393
126	Noun+NoHats+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Verb+Pres+A1sg	385
127	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3pl+P3sg+Nom	378
128	Noun+A3sg+Pnon+Nom+Noun+Agt+A3pl+P3sg+Loc	375
129	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+P2pl+Nom	360
130	Verb+Pos+Noun+Agt+A3pl+P1pl+Abl	349
131	Noun+A3sg+Pnon+Nom+Noun+Agt+A3pl+Pnon+Equ	346
132	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+P1pl+Dat	339
133	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Verb+Past+A1sg	335
134	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Adj+Without	327
135	Noun+A3sg+Pnon+Nom+Noun+Agt+A3pl+Pnon+Nom+Verb+Past+A3sg	321
136	Verb+Verb+Caus+Pos+Noun+Agt+A3pl+Pnon+Gen	319
137	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+P3sg+Nom+Verb+Pres+A1pl	312
138	Verb+Verb+Caus+Pos+Noun+Agt+A3sg+Pnon+Nom+Verb+Past+A3sg	311
139	Verb+Pos+Noun+Inf2+A3sg+Pnon+Nom+Noun+Agt+A3pl+Pnon+Gen	307
140	Noun+Prop+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Apos+Gen	290
141	Verb+Pos+Noun+Agt+A3sg+P3sg+Nom+Verb+Pres+A1sg	277
142	Verb+Pos+Noun+Inf2+A3sg+Pnon+Nom+Noun+Agt+A3sg+P3sg+Nom	276
143	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+P3sg+Abl	267
144	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+P1sg+Dat	251
145	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Verb+Narr+A3sg	250
146	Verb+Pos+Noun+Agt+A3sg+P1pl+Abl	246
147	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom	246
148	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Apos+Abl	231
149	Verb+Pos+Noun+Agt+A3pl+P3sg+Loc	231
150	Verb+Pos+Noun+Agt+A3sg+Pnon+Nom+Verb+Pres+A1sg	229
151	Verb+Pos+Noun+Inf2+A3sg+Pnon+Nom+Noun+Agt+A3pl+P3sg+Nom	228
152	Verb+Verb+Caus+Pos+Noun+Agt+A3sg+P3sg+Gen	223
153	Noun+A3sg+Pnon+Nom+Noun+Agt+A3pl+P1sg+Ins	221
154	Noun+A3sg+Pnon+Nom+Noun+Agt+A3pl+P1sg+Abl	213
155	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+Pnon+Nom+Verb+Pres+Cop+A3sg	210
156	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+P3sg+Loc	208
157	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Verb+Adv+While	206
158	Verb+Pos+Noun+Agt+A3sg+P3sg+Nom+Verb+Past+A3sg	199
159	Noun+A3sg+Pnon+Nom+Noun+Agt+A3pl+P2pl+Nom	192
160	Noun+A3sg+Pnon+Nom+Verb+Acquire+Pos+Noun+Agt+A3sg+Pnon+Nom	182
161	Verb+Pos+Noun+Inf2+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+P3sg+Nom	178
162	Noun+Prop+A3sg+Pnon+Nom+Noun+Agt+A3sg+P2sg+Nom	176
163	Verb+Pos+Noun+Inf2+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Gen	176
164	Verb+Verb+Caus+Pos+Noun+Agt+A3sg+Pnon+Acc	176
165	Noun+Prop+A3sg+Pnon+Nom+Noun+Agt+A3pl+P3sg+Nom	175
166	Verb+Pos+Noun+Agt+A3sg+P2pl+Nom	174
167	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+P2sg+Acc	173
168	Verb+Verb+Caus+Pos+Noun+Agt+A3sg+Pnon+Dat	173
169	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+P1sg+Acc	172
170	Noun+Prop+A3sg+Pnon+Nom+Noun+Agt+A3pl+Pnon+Dat	167
171	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+P1sg+Gen	166
172	Verb+Pos+Noun+Agt+A3sg+P1pl+Dat	166
173	Noun+NoHats+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Gen	164
174	Noun+A3sg+Pnon+Nom+Noun+Agt+A3pl+P1pl+Loc	159
175	Verb+Verb+Caus+Pos+Noun+Agt+A3pl+Pnon+Dat	159
176	Noun+A3sg+Pnon+Nom+Noun+Agt+A3pl+P3sg+Nom+Verb+Pres+Cop+A3sg	155
177	Noun+NoHats+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Verb+Pres+A1pl	154
178	Noun+NoHats+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Verb+Pres+Cop+A3sg	152
179	Verb+Pos+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+P3sg+Acc	148
180	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Verb+Cond+A3sg	146
181	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+P3sg+Loc	145
182	Verb+Verb+Caus+Pos+Noun+Agt+A3sg+Pnon+Apos+Gen	144
183	Adj+Verb+Become+Pos+Noun+Inf2+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom	142
184	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+P1sg+Acc	141
